X,Y,Component,Tag

153.0,101.5,Transistor,Transistor_9_0.0

258.0,101.5,Transistor,Transistor_11_0.0

147.0,132.0,Via,Via_3_0.0

171.0,132.0,Via,Via_4_0.0

289.0,237.0,Via,Via_10_0.0

317.0,237.0,Via,Via_11_0.0

149.0,371.0,Via,Via_13_0.0

172.0,371.0,Via,Via_12_0.0

161.0,355.3125,FSR,FSR_8_0.0

261.0,355.3125,FSR,FSR_9_0.0

317.0,237.0,Via,Via_11_0.0

161.0,150.0,R33,R33_3_90.0

157.75,112.5,Transistor,Transistor_9_0.0

260.0,148.0,R33,R33_2_90.0

262.75,112.5,Transistor,Transistor_11_0.0

74.75,191.0,AM3208,AM3208_0_0.0

253.25,112.5,Transistor,Transistor_11_0.0

211.0,125.0,R2k,R2k_9_90.0

211.0,133.0,R2k,R2k_9_90.0

171.0,132.0,Via,Via_4_0.0

148.25,112.5,Transistor,Transistor_9_0.0

111.0,125.0,R2k,R2k_3_90.0

147.0,132.0,Via,Via_3_0.0

74.75,187.0,AM3208,AM3208_0_0.0

111.0,133.0,R2k,R2k_3_90.0

67.0,179.25,AM3208,AM3208_0_0.0

161.0,293.0,R33,R33_4_90.0

161.0,306.6875,FSR,FSR_8_0.0

180.0,276.0,Via,Via_6_0.0

145.0,276.0,Via,Via_17_0.0

211.0,273.0,R2k,R2k_5_90.0

180.0,276.0,Via,Via_6_0.0

161.0,156.0,R33,R33_3_90.0

161.0,177.6875,FSR,FSR_2_0.0

260.0,156.0,R33,R33_2_90.0

261.0,177.6875,FSR,FSR_3_0.0

181.0,171.0,Via,Via_14_0.0

141.0,171.0,Via,Via_19_0.0

141.0,172.0,Via,Via_19_0.0

74.75,195.0,AM3208,AM3208_0_0.0

261.0,292.0,R33,R33_5_90.0

261.0,306.6875,FSR,FSR_9_0.0

161.0,226.3125,FSR,FSR_2_0.0

261.0,226.3125,FSR,FSR_3_0.0

260.75,261.5,Transistor,Transistor_4_0.0

261.0,284.0,R33,R33_5_90.0

250.75,261.5,Transistor,Transistor_4_0.0

211.0,265.0,R2k,R2k_5_90.0

317.0,237.0,Via,Via_11_0.0

225.5,64.0,Pad,Pad_7_0.0

181.0,171.0,Via,Via_14_0.0

172.0,371.0,Via,Via_12_0.0

289.0,237.0,Via,Via_10_0.0

261.0,69.5,Pad,Pad_8_0.0

221.0,68.5,Pad,Pad_7_0.0

51.0,179.25,AM3208,AM3208_0_0.0

73.0,66.5,Pad,Pad_10_0.0

47.0,179.25,AM3208,AM3208_0_0.0

149.0,371.0,Via,Via_13_0.0

43.0,222.75,AM3208,AM3208_0_0.0

59.0,133.0,C0.1uF,C0.1uF_1_90.0

55.0,179.25,AM3208,AM3208_0_0.0

59.0,125.0,C0.1uF,C0.1uF_1_90.0

165.75,261.5,Transistor,Transistor_6_0.0

161.0,285.0,R33,R33_4_90.0

92.0,293.0,R2k,R2k_6_90.0

67.0,222.75,AM3208,AM3208_0_0.0

145.0,276.0,Via,Via_17_0.0

59.0,222.75,AM3208,AM3208_0_0.0

51.0,222.75,AM3208,AM3208_0_0.0

256.0,250.5,Transistor,Transistor_4_0.0

156.25,261.5,Transistor,Transistor_6_0.0

92.0,285.0,R2k,R2k_6_90.0

125.0,227.0,C0.1uF,C0.1uF_11_90.0

125.0,235.0,C0.1uF,C0.1uF_11_90.0

74.75,211.0,AM3208,AM3208_0_0.0

74.75,207.0,AM3208,AM3208_0_0.0

161.0,250.5,Transistor,Transistor_6_0.0

41.0,66.5,Pad,Pad_9_0.0



