Component,X,Y,Orientation,Perimeter X,Perimeter Y,Tag
AM3208,53,201,0,"[35.5, 68.75, 68.75, 35.5]","[218.5, 218.5, 183.5, 183.5]",AM3208_0_0.0
Wire,41,50,0,"[38.5, 43.25, 43.25, 38.5]","[52.5, 52.5, 47.5, 47.5]",Wire_3_0.0
Pad,41,62,0,"[36.0, 45.5, 45.5, 36.0]","[67.0, 67.0, 57.0, 57.0]",Pad_9_0.0
C0.1uF,59,129,90,"[56.5, 56.5, 61.5, 61.5]","[127.0, 130.8, 130.8, 127.0]",C0.1uF_1_90.0
Pad,11,141,0,"[6.0, 15.5, 15.5, 6.0]","[146.0, 146.0, 136.0, 136.0]",Pad_4_0.0
Wire,11,130,0,"[8.5, 13.25, 13.25, 8.5]","[132.5, 132.5, 127.5, 127.5]",Wire_5_0.0
Via,11,161,0,"[10.0, 11.9, 11.9, 10.0]","[162.0, 162.0, 160.0, 160.0]",Via_2_0.0
Via,71,161,0,"[70.0, 71.9, 71.9, 70.0]","[162.0, 162.0, 160.0, 160.0]",Via_4_0.0
Transistor,151,200,0,"[143.25, 157.98, 157.98, 143.25]","[203.75, 203.75, 196.25, 196.25]",Transistor_4_0.0
Transistor,149,391,0,"[141.25, 155.98, 155.98, 141.25]","[394.75, 394.75, 387.25, 387.25]",Transistor_6_0.0
R2k,145,420,90,"[142.5, 142.5, 147.5, 147.5]","[418.0, 421.8, 421.8, 418.0]",R2k_2_90.0
R330,217,129,90,"[214.5, 214.5, 219.5, 219.5]","[127.0, 130.8, 130.8, 127.0]",R330_3_90.0
R330,361,129,90,"[358.5, 358.5, 363.5, 363.5]","[127.0, 130.8, 130.8, 127.0]",R330_4_90.0
Transistor,301,202,0,"[293.25, 307.97, 307.97, 293.25]","[205.75, 205.75, 198.25, 198.25]",Transistor_3_0.0
Transistor,301,391,0,"[293.25, 307.97, 307.97, 293.25]","[394.75, 394.75, 387.25, 387.25]",Transistor_9_0.0
Diode,201,182,90,"[193.5, 193.5, 208.5, 208.5]","[178.0, 185.6, 185.6, 178.0]",Diode_5_90.0
