Tunnel,X,Y,Tag
0,"[41.0, 41, 25, 25, 43, 43.0]","[66.5, 82, 82, 171, 172, 179.25]",line_92
0,"[59.0, 59, 55, 55.0]","[133.0, 150, 151, 179.25]",line_51
1,"[71.0, 11.0]","[161.0, 161.0]",line_45
0,"[71.0, 71, 59, 59.0]","[161.0, 171, 171, 179.25]",line_47
0,"[11.0, 11.0]","[161.0, 145.5]",line_48
0,"[59.0, 58]","[125.0, 90]",line_31
0,"[261.0, 261.0, 101, 101, 59]","[44.5, 60.5, 62, 146, 145]",line_35
0,"[217.0, 217, 217.0]","[125.0, 112, 96.0]",line_36
0,"[361.0, 361, 361.0]","[125.0, 113, 95.0]",line_37
0,"[142.25, 142, 151, 151.0]","[176.25, 185, 185, 194.5]",line_40
1,"[361.0, 401.0]","[234.0, 234.0]",line_29
0,"[217.0, 217]","[88.0, 61]",line_54
0,"[361.0, 361]","[87.0, 61]",line_55
0,"[201.0, 201, 181, 181, 151]","[190.25, 202, 202, 186, 187]",line_60
0,"[217.0, 217, 231, 231, 210, 202]","[133.0, 152, 152, 190, 202, 202]",line_63
0,"[351.0, 351, 332, 328, 301]","[190.25, 197, 197, 190, 190]",line_90
0,"[361.0, 361, 381, 381, 351]","[133.0, 152, 152, 196, 196]",line_98
1,"[141.0, 97.0]","[252.0, 252.0]",line_57
0,"[261, 388, 388]","[61, 61, 252]",line_41
0,"[401.0, 401, 241, 241, 226.5]","[234.0, 10, 10, 40, 40.0]",line_66
0,"[144.25, 144, 146, 145.0]","[396.5, 406, 406, 416.0]",line_67
0,"[296.25, 297, 297.0]","[396.5, 408, 416.0]",line_68
0,"[201.0, 201, 184, 169, 143]","[380.25, 386, 386, 379, 379]",line_84
1,"[321.0, 271.0]","[447.0, 447.0]",line_95
0,"[153.75, 154, 211, 211, 271, 271.0]","[396.5, 408, 408, 432, 432, 447.0]",line_108
0,"[321.0, 401, 401.0]","[447.0, 448, 234.0]",line_111
0,"[305.75, 306, 351, 351]","[396.5, 406, 406, 447]",line_110
0,"[217.5, 61, 60, 35, 35, 50, 51.0]","[40.0, 40, 91, 91, 149, 149, 179.25]",line_112
0,"[105.0, 105, 74.75]","[226.0, 207, 207.0]",line_72
0,"[217.0, 217, 217.0]","[286.0, 302, 318.0]",line_81
0,"[361.0, 361, 361.0]","[285.0, 301, 320.0]",line_82
0,"[217.0, 217, 231, 231, 201]","[326.0, 346, 346, 386, 386]",line_89
0,"[361.0, 361, 381, 381, 350]","[328.0, 348, 348, 386, 386]",line_96
0,"[305.75, 306, 361, 361.0]","[207.5, 222, 222, 234.0]",line_115
1,"[127.0, 157.0]","[216.0, 216.0]",line_73
1,"[211.0, 241.0]","[216.0, 216.0]",line_101
0,"[155.75, 157.0]","[205.5, 216.0]",line_62
0,"[157.0, 157, 212, 211.0]","[216.0, 232, 232, 216.0]",line_64
0,"[127.0, 127, 105]","[216.0, 210, 210]",line_65
0,"[241.0, 241, 307, 307]","[216.0, 231, 232, 222]",line_103
0,"[141.0, 141, 161, 161, 389]","[252.0, 261, 261, 250, 250]",line_114
0,"[217.0, 217, 217]","[278.0, 262, 250]",line_118
0,"[331, 331]","[352, 251]",line_119
0,"[361.0, 362, 362]","[277.0, 262, 250]",line_120
0,"[335, 335]","[161, 61]",line_93
0,"[194, 194]","[352, 250]",line_102
0,"[105.0, 105, 97, 97.0]","[234.0, 242, 242, 252.0]",line_75
0,"[97, 83, 83, 97, 97, 74.75]","[242, 242, 218, 218, 211, 211.0]",line_100
0,"[351.0, 351, 328, 328, 301, 301]","[379.25, 386, 386, 378, 378, 381]",line_113
0,"[195, 195]","[162, 62]",line_76
0,"[52.0, 52, 41, 41, 59, 59.0]","[318.0, 301, 301, 271, 241, 222.75]",line_104
0,"[145.0, 145, 25, 25, 55, 55.0]","[424.0, 452, 452, 262, 241, 222.75]",line_106
0,"[297.0, 297, 16, 15, 51, 51.0]","[424.0, 462, 462, 260, 236, 222.75]",line_116
0,"[72.0, 72, 63, 63.0]","[278.0, 262, 240, 222.75]",line_121
0,"[146.25, 146, 121, 121, 111, 111, 99, 98, 72, 72.0]","[205.5, 238, 238, 244, 244, 263, 263, 301, 301, 286.0]",line_167
0,"[296.25, 296, 263, 263, 227, 226, 131, 128, 128, 117, 117, 105, 105, 52, 52.0]","[207.5, 218, 218, 204, 204, 242, 242, 242, 261, 261, 268, 268, 341, 341, 326.0]",line_94
0,"[159.75, 179, 179, 195, 201, 201.0]","[171.25, 172, 162, 162, 162, 173.75]",line_70
0,"[289.75, 321, 321, 351, 351.0]","[170.25, 171, 162, 162, 173.75]",line_74
0,"[159.75, 177, 182, 201, 201.0]","[366.25, 366, 352, 352, 363.75]",line_77
0,"[289.75, 317, 321, 351, 351.0]","[366.25, 366, 352, 351, 362.75]",line_80
0,"[301.0, 301, 272, 272.25]","[196.5, 190, 191, 170.25]",line_86
0,"[301.0, 301, 273, 272.25]","[385.5, 379, 378, 366.25]",line_87
0,"[149.0, 149, 142, 142.25]","[385.5, 379, 379, 366.25]",line_88
